STNR,DATO,HR,PO,TA,UH,TD,DD,FF
180,01-JAN-13      ,0,938.5,0.2,99,0,-9999,4
180,01-JAN-13      ,1,938.1,0.2,98,0,112,0.9
180,01-JAN-13      ,2,937.8,0.2,99,0,111,0.9
180,01-JAN-13      ,3,937.6,0.7,99,0.4,133,1.9
180,01-JAN-13      ,4,937.7,1.5,99,1.3,102,2.2
180,01-JAN-13      ,5,938,2.1,98,1.9,107,2.7
180,01-JAN-13      ,6,938.7,2.2,96,1.7,123,2.2
180,01-JAN-13      ,7,939.6,1.3,97,0.9,156,1.1
180,01-JAN-13      ,8,940.9,1.1,97,0.6,122,1.6
180,01-JAN-13      ,9,941.7,-0.3,97,-0.7,112,1.2
180,01-JAN-13      ,10,942.5,0.6,98,0.4,122,2.4
180,01-JAN-13      ,11,943.2,0.3,97,-0.2,127,2.5
180,01-JAN-13      ,12,943.8,0.1,97,-0.2,119,2.7
180,01-JAN-13      ,13,944.3,-0.2,98,-0.5,133,1.5
180,01-JAN-13      ,14,944.9,-0.9,98,-1.2,140,2.5
180,01-JAN-13      ,15,945.5,-1.1,97,-1.7,115,2.7
180,01-JAN-13      ,16,946.1,-2.1,96,-2.7,135,1.9
180,01-JAN-13      ,17,946.9,-3.4,98,-3.5,125,1.5
180,01-JAN-13      ,18,947.7,-4.2,97,-4.4,300,1.2
180,01-JAN-13      ,19,948.2,-4.9,97,-5.3,145,0.6
180,01-JAN-13      ,20,948.8,-4.7,97,-5,229,0.7
180,01-JAN-13      ,21,949.3,-4.6,97,-5,100,0.8
180,01-JAN-13      ,22,949.9,-5.1,96,-5.7,122,0.8
180,01-JAN-13      ,23,950.6,-5.6,96,-6.3,106,1.1
180,02-JAN-13      ,0,951.2,-6,95,-6.7,144,0.4
180,02-JAN-13      ,1,952,-6.2,96,-7,119,0.6
180,02-JAN-13      ,2,952.8,-6.3,95,-7,106,1
180,02-JAN-13      ,3,953.5,-5.6,97,-6,289,1.6
180,02-JAN-13      ,4,954.2,-5.9,96,-6.7,298,2
180,02-JAN-13      ,5,955.1,-7.1,94,-7.8,285,3
180,02-JAN-13      ,6,955.8,-8.4,93,-9.4,285,1.8
180,02-JAN-13      ,7,956.7,-8.8,93,-9.8,285,1.4
180,02-JAN-13      ,8,957.8,-8.7,94,-9.4,121,0.2
180,02-JAN-13      ,9,958.7,-8,94,-8.9,297,0.9
180,02-JAN-13      ,10,958.8,-7.6,94,-8.1,188,0.3
180,02-JAN-13      ,11,959.3,-8.1,94,-8.9,247,0.5
180,02-JAN-13      ,12,959.9,-9.1,92,-9.8,134,0.8
180,02-JAN-13      ,13,960.4,-9.8,92,-10.7,183,0.4
180,02-JAN-13      ,14,961,-9.8,94,-10.7,181,1.2
180,02-JAN-13      ,15,962.1,-9.8,93,-10.7,139,1
180,02-JAN-13      ,16,962.7,-10.7,92,-11.6,176,0.7
180,02-JAN-13      ,17,963.2,-10.8,93,-11.6,195,0.5
180,02-JAN-13      ,18,963.3,-12.2,91,-13.2,68,0.9
180,02-JAN-13      ,19,963.8,-11.7,94,-12.1,141,1.4
180,02-JAN-13      ,20,963.7,-11.3,93,-12.1,261,1.6
180,02-JAN-13      ,21,963.6,-11.1,92,-12.1,111,0.8
180,02-JAN-13      ,22,963.2,-12.4,91,-13.2,259,0.3
180,02-JAN-13      ,23,963.2,-13.8,90,-15,171,0.1
180,03-JAN-13      ,0,962.5,-14.5,90,-15.6,82,0.1
180,03-JAN-13      ,1,961.4,-14.5,90,-15.6,112,0.8
180,03-JAN-13      ,2,960.7,-13.2,92,-14.4,77,0.5
180,03-JAN-13      ,3,959.4,-12.2,93,-13.2,305,0.4
180,03-JAN-13      ,4,958.3,-11.3,93,-12.1,131,0.5
180,03-JAN-13      ,5,957,-10.5,93,-11.2,105,1.3
180,03-JAN-13      ,6,956.4,-9.9,93,-10.7,89,0.5
180,03-JAN-13      ,7,955.7,-9.4,93,-10.2,105,0.4
180,03-JAN-13      ,8,955.4,-8.7,94,-9.4,295,0.9
180,03-JAN-13      ,9,955.5,-8.2,94,-8.9,113,0.5
180,03-JAN-13      ,10,955.7,-7.4,94,-8.1,294,0.7
180,03-JAN-13      ,11,956,-6.6,94,-7.4,307,0.1
180,03-JAN-13      ,12,956.3,-6.2,96,-7,292,1
180,03-JAN-13      ,13,956.7,-5.7,95,-6.3,318,1.3
180,03-JAN-13      ,14,957.6,-5.6,95,-6.3,85,0.3
180,03-JAN-13      ,15,958.8,-5.7,95,-6.3,68,0.8
180,03-JAN-13      ,16,959.8,-6.4,96,-7,108,0.9
180,03-JAN-13      ,17,960.5,-5.6,97,-6,163,0.7
180,03-JAN-13      ,18,961.3,-6,97,-6.3,100,1.3
180,03-JAN-13      ,19,961.4,-6.5,97,-6.7,126,1.4
